"ID";"Intercept";"E-046";"J-078";"J-088";"J-059";"J-043";"J-067";"J-048";"J-076";"E-045";"J-092";"E-005";"J-068";"adj.R2";"df";"LL";"AICc";"ΔAICc";"weight"
"1957";24,9225239794699;NA;NA;"+";NA;NA;"+";NA;"+";"+";"+";"+";NA;0,159971199920232;8;-518,167383140074;1053,45976628015;5,49819336485712;0.00222566672440067
"3937";24,6803056667745;NA;NA;NA;NA;NA;"+";"+";NA;"+";"+";"+";"+";0,15990743069491;8;-518,172580296668;1053,47016059334;5,50858767804471;0.00221412959201875
"868";24,3674332441509;"+";"+";NA;NA;NA;"+";"+";NA;"+";"+";NA;NA;0,159906422414071;8;-518,172662467832;1053,47032493566;5,50875202037309;0.0022139476618873
"2914";24,6100276867235;"+";NA;NA;NA;NA;"+";"+";NA;"+";"+";NA;"+";0,159753826573264;8;-518,185097329046;1053,49519465809;5,53362174280119;0.00218658798938343
"2979";24,4916169175534;NA;"+";NA;NA;NA;"+";NA;"+";"+";"+";NA;"+";0,159748630470533;8;-518,185520713799;1053,4960414276;5,53446851230751;0.00218566241731765
"1569";23,8747714545239;NA;NA;NA;NA;NA;"+";NA;NA;NA;"+";"+";NA;0,117817367234638;5;-521,519646140568;1053,49730754831;5,53573463302018;0.00218427919896546
"932";24,4653644863643;"+";"+";NA;NA;NA;"+";NA;"+";"+";"+";NA;NA;0,159436652131075;8;-518,210936293198;1053,5468725864;5,58529967110553;0.00213081251414589
"1890";24,6181113268109;"+";NA;NA;NA;NA;"+";"+";NA;"+";"+";"+";NA;0,159028739234754;8;-518,244153043389;1053,61330608678;5,65173317148674;0.00206119645754428
"2985";24,5916874300696;NA;NA;NA;"+";NA;"+";NA;"+";"+";"+";NA;"+";0,158406040379638;8;-518,294828984576;1053,71465796915;5,75308505386192;0.00195934586980862
"938";24,5674100918155;"+";NA;NA;"+";NA;"+";NA;"+";"+";"+";NA;NA;0,158089279514792;8;-518,320592965359;1053,76618593072;5,80461301542732;0.00190951006152415
"891";24,5236295759427;NA;"+";NA;"+";"+";"+";"+";NA;"+";"+";NA;NA;0,172004143152263;9;-517,179579524727;1053,7764818841;5,81490896880882;0.00189970520747047
"814";24,4738782278677;"+";NA;"+";"+";NA;"+";NA;NA;"+";"+";NA;NA;0,158020499377578;8;-518,32618596877;1053,77737193754;5,81579902224871;0.00189885997598238
"1961";24,5574286093552;NA;NA;NA;"+";NA;"+";NA;"+";"+";"+";"+";NA;0,157930957551633;8;-518,333466568961;1053,79193313792;5,8303602226315;0.0018850853403314
"2861";24,4547932177607;NA;NA;"+";"+";NA;"+";NA;NA;"+";"+";NA;"+";0,157898154927693;8;-518,336133539926;1053,79726707985;5,83569416456135;0.00188006457056188
"2931";24,8850274592948;NA;"+";NA;NA;"+";"+";"+";NA;"+";"+";NA;"+";0,171754451845889;9;-517,200222479324;1053,81776779329;5,85619487800227;0.00186089167046294
"2937";24,9243309878054;NA;NA;NA;"+";"+";"+";"+";NA;"+";"+";NA;"+";0,171614040318882;9;-517,211828115993;1053,84097906663;5,87940615134085;0.00183941967693848
"887";24,7709026163822;NA;"+";"+";NA;"+";"+";"+";NA;"+";"+";NA;NA;0,171531385515239;9;-517,218658983509;1053,85464080166;5,8930678863735;0.00182689766162273
"2871";24,7738589450389;NA;"+";"+";NA;"+";"+";NA;NA;"+";"+";NA;"+";0,171421282472783;9;-517,227757206731;1053,87283724811;5,91126433281624;0.00181035152326221
"1837";24,4427532547588;NA;NA;"+";"+";NA;"+";NA;NA;"+";"+";"+";NA;0,157329063400375;8;-518,382386202389;1053,88977240478;5,92819948948681;0.00179508694812304
"2854";24,6571123874425;"+";NA;"+";NA;NA;"+";NA;NA;"+";"+";NA;"+";0,157227022827739;8;-518,390676203916;1053,90635240783;5,94477949254042;0.0017802671873748
"3877";24,6366468348927;NA;NA;"+";NA;NA;"+";NA;NA;"+";"+";"+";"+";0,157111153244435;8;-518,40008848854;1053,92517697708;5,96360406178928;0.00176358941698558
"1828";24,246587406658;"+";"+";NA;NA;NA;"+";NA;NA;"+";"+";"+";NA;0,15706514977095;8;-518,403825070809;1053,93265014162;5,97107722632836;0.00175701191637834
"546";23,6913189172813;"+";NA;NA;NA;NA;"+";NA;NA;NA;"+";NA;NA;0,114955524068769;5;-521,741394421124;1053,94080410942;5,97923119413372;0.00174986318960251
"2978";24,7278910214455;"+";NA;NA;NA;NA;"+";NA;"+";"+";"+";NA;"+";0,156855317744702;8;-518,42086586506;1053,96673173012;6,00515881482966;0.00172732470306146
"4001";24,736049762625;NA;NA;NA;NA;NA;"+";NA;"+";"+";"+";"+";"+";0,156853007554264;8;-518,421053455727;1053,96710691145;6,00553399616297;0.00172700070345948
"831";24,4489776010791;NA;"+";"+";"+";"+";"+";NA;NA;"+";"+";NA;NA;0,170825834088296;9;-517,276940389124;1053,97120361289;6,00963069760382;0.00172346682087544
"3875";24,2005023994603;NA;"+";NA;NA;NA;"+";NA;NA;"+";"+";"+";"+";0,156803597790988;8;-518,425065474026;1053,97513094805;6,01355803276124;0.00172008582561812
"1830";24,6554420141798;"+";NA;"+";NA;NA;"+";NA;NA;"+";"+";"+";NA;0,156748854807494;8;-518,429510269547;1053,98402053909;6,02244762380315;0.0017124573618846
"1835";24,0854348271603;NA;"+";NA;"+";NA;"+";NA;NA;"+";"+";"+";NA;0,156741123017695;8;-518,430138020357;1053,98527604071;6,02370312542416;0.00171138270273208
"769";25,7709296077378;NA;NA;NA;NA;NA;NA;NA;NA;"+";"+";NA;NA;0,100513293995182;4;-522,84961977992;1054,00226986287;6,04069694757868;0.00169690284025712
"893";24,810332667007;NA;NA;"+";"+";"+";"+";"+";NA;"+";"+";NA;NA;0,17062577371688;9;-517,293457166419;1054,00423716748;6,04266425219384;0.00169523449853117
"824";24,7385683989937;"+";"+";"+";NA;"+";"+";NA;NA;"+";"+";NA;NA;0,170460589342221;9;-517,307091616487;1054,03150606762;6,06993315232808;0.00167227776525922
"1954";24,6989042982578;"+";NA;NA;NA;NA;"+";NA;"+";"+";"+";"+";NA;0,15638333587273;8;-518,459180782394;1054,04336156479;6,08178864949832;0.00166239424555299
"812";24,0392371648195;"+";"+";NA;"+";NA;"+";NA;NA;"+";"+";NA;NA;0,15617173833765;8;-518,476351059073;1054,07770211815;6,11612920285506;0.00163409413207696
"2852";24,1666474647121;"+";"+";NA;NA;NA;"+";NA;NA;"+";"+";NA;"+";0,156070151909274;8;-518,484592854383;1054,09418570877;6,13261279347444;0.00162068161027608
"609";23,53643918616;NA;NA;NA;NA;NA;"+";"+";NA;NA;"+";NA;NA;0,113955998510839;5;-521,818673257738;1054,09536178265;6,13378886736041;0.00161972886976718
"2593";23,5453743316119;NA;NA;NA;NA;NA;"+";NA;NA;NA;"+";NA;"+";0,113755045109812;5;-521,834199553665;1054,12641437451;6,16484145921595;0.00159477470418989
"2875";24,5279848639102;NA;"+";NA;"+";"+";"+";NA;NA;"+";"+";NA;"+";0,169873921807831;9;-517,355493699424;1054,12831023349;6,16673731820242;0.00159326368649499
"2859";24,0387705386085;NA;"+";NA;"+";NA;"+";NA;NA;"+";"+";NA;"+";0,155844711307571;8;-518,50287950514;1054,13075901028;6,16918609498839;0.00159131410669527
"884";24,7485652361116;"+";"+";NA;NA;"+";"+";"+";NA;"+";"+";NA;NA;0,169742590562193;9;-517,366324293986;1054,14997142262;6,18839850732661;0.00157610080335983
