"ID";"Intercept";"E-046";"J-078";"J-088";"J-059";"J-043";"J-067";"J-048";"J-076";"E-045";"J-092";"E-005";"J-068";"adj.R2";"df";"LL";"AICc";"ΔAICc";"weight"
"547";23,3433710994083;NA;"+";NA;NA;NA;"+";NA;NA;NA;"+";NA;NA;0,113531578301457;5;-521,851461175025;1054,16093761723;6,19936470193443;0.00156748253827912
"1011";24,6515994467522;NA;"+";NA;NA;"+";"+";"+";"+";"+";"+";NA;NA;0,16963593245022;9;-517,375118890401;1054,16756061545;6,20598770015681;0.00156230040629515
"1847";24,6465857841256;NA;"+";"+";NA;"+";"+";NA;NA;"+";"+";"+";NA;0,169631855921103;9;-517,375455002098;1054,16823283884;6,20665992355157;0.00156177538709126
"951";24,683429423895;NA;"+";"+";NA;"+";"+";NA;"+";"+";"+";NA;NA;0,169624343483124;9;-517,376074401739;1054,16947163812;6,20789872283262;0.00156080832350825
"1907";24,7147100712092;NA;"+";NA;NA;"+";"+";"+";NA;"+";"+";"+";NA;0,169526785106929;9;-517,384117569954;1054,18555797455;6,22398505926299;0.00154830483086476
"828";24,4681354183328;"+";"+";NA;"+";"+";"+";NA;NA;"+";"+";NA;NA;0,169330895354168;9;-517,400264784717;1054,21785240408;6,25627948878969;0.00152350478492156
"890";24,7930895560791;"+";NA;NA;"+";"+";"+";"+";NA;"+";"+";NA;NA;0,169324139066421;9;-517,400821638392;1054,21896611143;6,25739319613854;0.001522656651849
"553";23,4524134666119;NA;NA;NA;"+";NA;"+";NA;NA;NA;"+";NA;NA;0,113002469754912;5;-521,892314659495;1054,24264458617;6,28107167087524;0.00150473585194492
"2868";24,7275186913722;"+";"+";NA;NA;"+";"+";NA;NA;"+";"+";NA;"+";0,169152764263642;9;-517,414944847294;1054,24721252923;6,2856396139432;0.00150130299985344
"1913";24,7118448447042;NA;NA;NA;"+";"+";"+";"+";NA;"+";"+";"+";NA;0,16894534248448;9;-517,432034837856;1054,28139251036;6,31981959506697;0.00147586374324566
"1017";24,7296500229213;NA;NA;NA;"+";"+";"+";"+";"+";"+";"+";NA;NA;0,168895901187068;9;-517,436107798751;1054,28953843215;6,32796551685601;0.00146986483289042
"2995";24,6604087676752;NA;"+";NA;NA;"+";"+";NA;"+";"+";"+";NA;"+";0,168800047033771;9;-517,444003548506;1054,30532993166;6,34375701636623;0.00145830484543697
"2933";25,2369835641892;NA;NA;"+";NA;"+";"+";"+";NA;"+";"+";NA;"+";0,168798944363693;9;-517,444094372942;1054,30551158053;6,34393866523942;0.00145817240173565
"3891";24,6698106999758;NA;"+";NA;NA;"+";"+";NA;NA;"+";"+";"+";"+";0,16879593309399;9;-517,444342403793;1054,30600764223;6,34443472694124;0.00145781077484324
"563";23,847523739706;NA;"+";NA;NA;"+";"+";NA;NA;NA;"+";NA;NA;0,126507814602706;6;-520,841838273843;1054,32983039384;6,36825747854937;0.00144054925118999
"3057";25,0951004557155;NA;NA;NA;NA;"+";"+";"+";"+";"+";"+";NA;"+";0,168156613985145;9;-517,496981214715;1054,41128526408;6,44971234878471;0.00138305805610281
"3953";25,0992535273693;NA;NA;NA;NA;"+";"+";"+";NA;"+";"+";"+";"+";0,168120933654562;9;-517,499917789661;1054,41715841397;6,45558549867724;0.00137900256001451
"955";24,4226019766298;NA;"+";NA;"+";"+";"+";NA;"+";"+";"+";NA;NA;0,168016294551362;9;-517,508529107541;1054,43438104973;6,47280813443786;0.00136717851398933
"2858";24,2911890815315;"+";NA;NA;"+";NA;"+";NA;NA;"+";"+";NA;"+";0,15394183837315;8;-518,657037154812;1054,43907430962;6,47750139433265;0.00136397401330411
"1851";24,3974313565252;NA;"+";NA;"+";"+";"+";NA;NA;"+";"+";"+";NA;0,167935421322342;9;-517,51518386148;1054,44769055761;6,48611764231487;0.00135811048360951
"3881";24,3083683810599;NA;NA;NA;"+";NA;"+";NA;NA;"+";"+";"+";"+";0,153846395606753;8;-518,664760140583;1054,45452028117;6,49294736587512;0.0013534806336738
"1834";24,3197291126695;"+";NA;NA;"+";NA;"+";NA;NA;"+";"+";"+";NA;0,153808146727235;8;-518,667854898201;1054,4607097964;6,49913688111178;0.00134929841398754
"2817";25,165134921531;NA;NA;NA;NA;NA;NA;NA;NA;"+";"+";NA;"+";0,111534079706204;5;-522,005564397234;1054,46914406164;6,50757114635212;0.00134362022488498
"2930";25,1297436108658;"+";NA;NA;NA;"+";"+";"+";NA;"+";"+";NA;"+";0,167709876237661;9;-517,533739703475;1054,48480224159;6,52322932630432;0.00133314197236323
"1844";24,6322081829312;"+";"+";NA;NA;"+";"+";NA;NA;"+";"+";"+";NA;0,167697559262891;9;-517,534752889795;1054,48682861424;6,52525569894533;0.00133179193518862
"3874";24,4427468298493;"+";NA;NA;NA;NA;"+";NA;NA;"+";"+";"+";"+";0,153584517300765;8;-518,685946195549;1054,4968923911;6,53531947580836;0.00132510733893248
"2609";24,2468082622659;NA;NA;NA;NA;"+";"+";NA;NA;NA;"+";NA;"+";0,125422197334175;6;-520,926878039029;1054,49990992421;6,53833700892119;0.00132310956875923
"948";24,6038965034295;"+";"+";NA;NA;"+";"+";NA;"+";"+";"+";NA;NA;0,167610313444226;9;-517,541929244999;1054,50118132464;6,53960840935315;0.00132226873500802
"565";24,1894194127824;NA;NA;"+";NA;"+";"+";NA;NA;NA;"+";NA;NA;0,125363356746692;6;-520,93148418988;1054,50912222591;6,54754931062371;0.00131702914092721
"1005";24,7674067487548;NA;NA;"+";"+";NA;"+";"+";"+";"+";"+";NA;NA;0,167495533482119;9;-517,551369260488;1054,52006135562;6,55848844033062;0.00130984522897275
"943";24,527725181372;NA;"+";"+";"+";NA;"+";NA;"+";"+";"+";NA;NA;0,16744725479737;9;-517,555339525982;1054,52800188661;6,56642897131815;0.0013046551055596
"562";24,2604876668387;"+";NA;NA;NA;"+";"+";NA;NA;NA;"+";NA;NA;0,124887854248143;6;-520,968696050907;1054,58354594797;6,62197303267749;0.0012689206893507
"1971";24,5528560999649;NA;"+";NA;NA;"+";"+";NA;"+";"+";"+";"+";NA;0,167002343105485;9;-517,591916636644;1054,60115610793;6,63958319264361;0.0012577967864851
"1585";24,2177808369358;NA;NA;NA;NA;"+";"+";NA;NA;NA;"+";"+";NA;0,124626911301875;6;-520,989108329262;1054,62437050468;6,6627975893864;0.00124328169242582
"1909";25,0123251994681;NA;NA;"+";NA;"+";"+";"+";NA;"+";"+";"+";NA;0,166664683873277;9;-517,619663270286;1054,65664937522;6,69507645992644;0.00122337688626123
"886";25,0673093911384;"+";NA;"+";NA;"+";"+";"+";NA;"+";"+";NA;NA;0,166589047221401;9;-517,625877056606;1054,66907694786;6,70750403256648;0.00121579865284638
"1013";25,0270661599683;NA;NA;"+";NA;"+";"+";"+";"+";"+";"+";NA;NA;0,166587903404084;9;-517,625971020431;1054,66926487551;6,70769196021774;0.00121568441712086
"677";24,2987682065518;NA;NA;"+";NA;NA;"+";NA;"+";NA;"+";NA;NA;0,124024453981662;6;-521,036212370677;1054,71857858751;6,7570056722177;0.00118607598695392
"999";24,7313608884183;NA;"+";"+";NA;NA;"+";"+";"+";"+";"+";NA;NA;0,166218425199043;9;-517,656316663821;1054,72995616229;6,76838324699793;0.00117934780856873
"879";24,3149047985469;NA;"+";"+";"+";NA;"+";"+";NA;"+";"+";NA;NA;0,166215333552346;9;-517,656570527393;1054,73046388943;6,7688909741405;0.00117904845312159
"2925";24,6083073140918;NA;NA;"+";"+";NA;"+";"+";NA;"+";"+";NA;"+";0,166103360754946;9;-517,665764286188;1054,74885140702;6,78727849173015;0.00116825824333286
"625";24,1077819907569;NA;NA;NA;NA;"+";"+";"+";NA;NA;"+";NA;NA;0,123813141482286;6;-521,052726489578;1054,75160682531;6,79003391001925;0.00116664983148409
"689";24,1670721837262;NA;NA;NA;NA;"+";"+";NA;"+";NA;"+";NA;NA;0,12378627230733;6;-521,054826036315;1054,75580591878;6,79423300349276;0.00116420296519137
"569";23,9585205715726;NA;NA;NA;"+";"+";"+";NA;NA;NA;"+";NA;NA;0,123739212839346;6;-521,058503089542;1054,76316002524;6,80158710994624;0.00115992998971524
"2033";24,8889209652247;NA;NA;NA;NA;"+";"+";"+";"+";"+";"+";"+";NA;0,165740933935395;9;-517,695513634134;1054,80835010291;6,8467771876235;0.00113401520189236
"1959";24,7347854198937;NA;"+";"+";NA;NA;"+";NA;"+";"+";"+";"+";NA;0,1657218960128;9;-517,69707598087;1054,81147479639;6,84990188109441;0.00113224486024758
"1010";24,9404005504576;"+";NA;NA;NA;"+";"+";"+";"+";"+";"+";NA;NA;0,165637404343812;9;-517,704009358016;1054,82534155068;6,86376863538635;0.00112442173130087
