id;A;B;C;D;E;F;G;H;I;J;K;L;clade_A;clade_B;clade_D
D4.3-1;0;0;0;0;0;0;0;0;0,25;0,25;0,25;0,25;0,5;0;0,5
D4.3-2;0;0;0;0;0;0;0;0;0,25;0,25;0,25;0,25;0,5;0;0,5
D4.3-3;0;0;0;0;0;0;0;0;0,25;0,25;0,25;0,25;0,5;0;0,5
D4.4-1;0,25;0;0;0,25;0;0;0,25;0;0;0,25;0;0;1;0;0
D4.4-2;0,25;0;0;0,25;0;0;0,25;0;0;0,25;0;0;1;0;0
D4.4-3;0,25;0;0;0,25;0;0;0,25;0;0;0,25;0;0;1;0;0
D4.5-1;0;0,25;0;0;0,25;0;0;0,25;0;0;0,25;0;0,5;0,25;0,25
D4.5-2;0;0,25;0;0;0,25;0;0;0,25;0;0;0,25;0;0,5;0,25;0,25
D4.5-3;0;0,25;0;0;0,25;0;0;0,25;0;0;0,25;0;0,5;0,25;0,25
D4.6-1;0;0;0,25;0;0;0,25;0;0;0,25;0;0;0,25;0,5;0;0,5
D4.6-2;0;0;0,25;0;0;0,25;0;0;0,25;0;0;0,25;0,5;0;0,5
D4.6-3;0;0;0,25;0;0;0,25;0;0;0,25;0;0;0,25;0,5;0;0,5
D6.1-1;0,167;0;0;0,167;0;0,167;0,167;0,167;0;0;0;0,167;0,835;0;0,167
D6.1-2;0,167;0;0;0,167;0;0,167;0,167;0,167;0;0;0;0,167;0,835;0;0,167
D6.1-3;0,167;0;0;0,167;0;0,167;0,167;0,167;0;0;0;0,167;0,835;0;0,167
D6.2-1;0;0;0,167;0,167;0,167;0;0,167;0,167;0;0,167;0;0;0,835;0,167;0
D6.2-2;0;0;0,167;0,167;0,167;0;0,167;0,167;0;0,167;0;0;0,835;0,167;0
D6.2-3;0;0;0,167;0,167;0,167;0;0,167;0,167;0;0,167;0;0;0,835;0,167;0
D6.3-1;0;0,167;0,167;0;0,167;0;0;0;0,167;0,167;0,167;0;0,501;0,167;0,334
D6.3-2;0;0,167;0,167;0;0,167;0;0;0;0,167;0,167;0,167;0;0,501;0,167;0,334
D6.3-3;0;0,167;0,167;0;0,167;0;0;0;0,167;0,167;0,167;0;0,501;0,167;0,334
D6.4-1;0,167;0,167;0;0;0,167;0;0;0,167;0,167;0;0,167;0;0,501;0,167;0,334
D6.4-2;0,167;0,167;0;0;0,167;0;0;0,167;0,167;0;0,167;0;0,501;0,167;0,334
D6.4-3;0,167;0,167;0;0;0,167;0;0;0,167;0,167;0;0,167;0;0,501;0,167;0,334
D6.5-1;0;0;0,167;0,167;0;0,167;0,167;0;0;0;0,167;0,167;0,835;0;0,167
D6.5-2;0;0;0,167;0,167;0;0,167;0,167;0;0;0;0,167;0,167;0,835;0;0,167
D6.5-3;0;0;0,167;0,167;0;0,167;0,167;0;0;0;0,167;0,167;0,835;0;0,167
D6.6-1;0,167;0,167;0;0;0;0,167;0;0;0,167;0,167;0;0,167;0,501;0;0,501
D6.6-2;0,167;0,167;0;0;0;0,167;0;0;0,167;0,167;0;0,167;0,501;0;0,501
D6.6-3;0,167;0,167;0;0;0;0,167;0;0;0,167;0,167;0;0,167;0,501;0;0,501
D8.1-1;0,125;0;0;0,125;0;0,125;0,125;0,125;0,125;0;0,125;0,125;0,75;0;0,25
D8.1-2;0,125;0;0;0,125;0;0,125;0,125;0,125;0,125;0;0,125;0,125;0,75;0;0,25
D8.1-3;0,125;0;0;0,125;0;0,125;0,125;0,125;0,125;0;0,125;0,125;0,75;0;0,25
D8.2-1;0,125;0,125;0;0,125;0,125;0,125;0;0,125;0;0;0,125;0,125;0,625;0,125;0,25
D8.2-2;0,125;0,125;0;0,125;0,125;0,125;0;0,125;0;0;0,125;0,125;0,625;0,125;0,25
D8.2-3;0,125;0,125;0;0,125;0,125;0,125;0;0,125;0;0;0,125;0,125;0,625;0,125;0,25
D8.3-1;0,125;0,125;0,125;0;0;0,125;0,125;0;0,125;0,125;0;0,125;0,625;0;0,375
D8.3-2;0,125;0,125;0,125;0;0;0,125;0,125;0;0,125;0,125;0;0,125;0,625;0;0,375
D8.3-3;0,125;0,125;0,125;0;0;0,125;0,125;0;0,125;0,125;0;0,125;0,625;0;0,375
D8.4-1;0,125;0;0,125;0,125;0,125;0;0,125;0,125;0,125;0,125;0;0;0,75;0,125;0,125
D8.4-2;0,125;0;0,125;0,125;0,125;0;0,125;0,125;0,125;0,125;0;0;0,75;0,125;0,125
D8.4-3;0,125;0;0,125;0,125;0,125;0;0,125;0,125;0,125;0,125;0;0;0,75;0,125;0,125
D8.5-1;0;0,125;0,125;0,125;0,125;0;0;0,125;0,125;0,125;0,125;0;0,625;0,125;0,25
D8.5-2;0;0,125;0,125;0,125;0,125;0;0;0,125;0,125;0,125;0,125;0;0,625;0,125;0,25
D8.5-3;0;0,125;0,125;0,125;0,125;0;0;0,125;0,125;0,125;0,125;0;0,625;0,125;0,25
D8.6-1;0;0,125;0,125;0;0,125;0,125;0,125;0;0;0,125;0,125;0,125;0,625;0,125;0,25
D8.6-2;0;0,125;0,125;0;0,125;0,125;0,125;0;0;0,125;0,125;0,125;0,625;0,125;0,25
D8.6-3;0;0,125;0,125;0;0,125;0,125;0,125;0;0;0,125;0,125;0,125;0,625;0,125;0,25
D10.1-1;0,1;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,7;0,1;0,2
D10.1-2;0,1;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,7;0,1;0,2
D10.1-3;0,1;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,7;0,1;0,2
D10.2-1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0,1;0,1;0,1;0,1;0,6;0,1;0,3
D10.2-2;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0,1;0,1;0,1;0,1;0,6;0,1;0,3
D10.2-3;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0,1;0,1;0,1;0,1;0,6;0,1;0,3
D10.3-1;0;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0,1;0,1;0,1;0,6;0,1;0,3
D10.3-2;0;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0,1;0,1;0,1;0,6;0,1;0,3
D10.3-3;0;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0,1;0,1;0,1;0,6;0,1;0,3
D10.4-1;0,1;0,1;0,1;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,7;0;0,3
D10.4-2;0,1;0,1;0,1;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,7;0;0,3
D10.4-3;0,1;0,1;0,1;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,7;0;0,3
D10.5-1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0;0,7;0,1;0,2
D10.5-2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0;0,7;0,1;0,2
D10.5-3;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0;0,7;0,1;0,2
D10.6-1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0;0,1;0,7;0,1;0,2
D10.6-2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0;0,1;0,7;0,1;0,2
D10.6-3;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0;0,1;0,7;0,1;0,2
CTRL-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CTRL-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CTRL-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CTRL-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CTRL-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CTRL-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
