id;diversity;comm;leaf_biom;molds;shelf_x;shelf_y
D2.4-1;2;HL;13,9;FALSE;21;14
D2.4-2;2;HL;24,8;FALSE;20;10
D2.4-3;2;HL;9,6;FALSE;22;13
D2.5-1;2;AK;13,7;FALSE;13;10
D2.5-2;2;AK;18,6;FALSE;3;2
D2.5-3;2;AK;14,1;FALSE;7;6
D2.6-1;2;FI;44,8;FALSE;17;12
D2.6-2;2;FI;16,9;FALSE;11;5
D2.6-3;2;FI;24,5;FALSE;13;9
D2.7-1;2;AL;16,0;FALSE;6;2
D2.7-2;2;AL;14,2;FALSE;5;1
D2.7-3;2;AL;20,3;FALSE;9;1
D2.8-1;2;BK;12,5;FALSE;5;7
D2.8-2;2;BK;35,1;FALSE;1;4
D2.8-3;2;BK;26,8;FALSE;13;12
D2.9-1;2;CJ;44,4;FALSE;5;4
D2.9-2;2;CJ;42,3;FALSE;4;3
D2.9-3;2;CJ;23,0;FALSE;9;5
D2.10-1;2;DI;19,2;FALSE;10;6
D2.10-2;2;DI;11,8;FALSE;5;2
D2.10-3;2;DI;23,6;FALSE;22;12
D2.11-1;2;EH;16,6;FALSE;17;9
D2.11-2;2;EH;22,7;FALSE;19;13
D2.11-3;2;EH;19,0;FALSE;9;2
D2.12-1;2;FG;25,6;FALSE;15;12
D2.12-2;2;FG;37,2;FALSE;12;11
D2.12-3;2;FG;;TRUE;1;5
D4.1-1;4;ABCD;12,1;FALSE;12;13
D4.1-2;4;ABCD;31,0;FALSE;16;8
D4.1-3;4;ABCD;14,3;FALSE;3;5
D4.2-1;4;EFGH;10,3;FALSE;8;5
D4.2-2;4;EFGH;24,8;FALSE;15;8
D4.2-3;4;EFGH;15,0;FALSE;8;1
D4.3-1;4;IJKL;52,0;FALSE;5;3
D4.3-2;4;IJKL;8,5;FALSE;10;7
D4.3-3;4;IJKL;41,0;FALSE;17;13
D4.4-1;4;ADGJ;35,1;FALSE;4;7
D4.4-2;4;ADGJ;37,7;FALSE;18;12
D4.4-3;4;ADGJ;14,5;FALSE;16;13
D4.5-1;4;BEHK;25,7;FALSE;9;6
D4.5-2;4;BEHK;13,3;FALSE;11;3
D4.5-3;4;BEHK;29,0;FALSE;13;11
D4.6-1;4;CFIL;36,0;FALSE;7;7
D4.6-2;4;CFIL;17,5;FALSE;22;11
D4.6-3;4;CFIL;21,4;FALSE;2;7
D6.1-1;6;ADFGHL;21,3;FALSE;2;1
D6.1-2;6;ADFGHL;23,9;FALSE;9;3
D6.1-3;6;ADFGHL;39,6;FALSE;3;4
D6.2-1;6;CDEGHJ;29,6;FALSE;2;2
D6.2-2;6;CDEGHJ;39,5;FALSE;3;3
D6.2-3;6;CDEGHJ;29,9;FALSE;3;6
D6.3-1;6;BCEIKJ;23,0;FALSE;2;7
D6.3-2;6;BCEIKJ;15,8;FALSE;22;10
D6.3-3;6;BCEIKJ;37,3;FALSE;10;5
D6.4-1;6;ABEHIK;11,7;FALSE;4;2
D6.4-2;6;ABEHIK;20,6;FALSE;13;13
D6.4-3;6;ABEHIK;8,4;FALSE;2;5
D6.5-1;6;CDFGKL;26,7;FALSE;13;8
D6.5-2;6;CDFGKL;14,2;FALSE;1;2
D6.5-3;6;CDFGKL;20,9;FALSE;1;1
D6.6-1;6;ABFIJL;18,9;FALSE;1;7
D6.6-2;6;ABFIJL;20,4;FALSE;12;10
D6.6-3;6;ABFIJL;45,6;FALSE;8;3
D8.1-1;8;ADFGHIKL;22,1;FALSE;12;14
D8.1-2;8;ADFGHIKL;36,4;FALSE;16;9
D8.1-3;8;ADFGHIKL;22,2;FALSE;18;9
D8.2-1;8;ABDEFHKL;47,8;FALSE;5;6
