"ID";"Intercept";"J-067";"E-045";"J-092";"D2";"J-067:E-045";"J-067:J-092";"J-067:D2";"E-045:J-092";"E-045:D2";"J-092:D2";"J-067:E-045:J-092";"J-067:E-045:D2";"J-067:J-092:D2";"E-045:J-092:D2";"J-067:E-045:J-092:D2";"adj.R2";"df";"LL";"AICc";"ΔAICc";"weight"
"848";31,975738380491;"+";"+";"+";"+";NA;NA;"+";NA;"+";"+";NA;NA;NA;NA;NA;0,315507670004406;13;-504,149480353598;1037,25831030069;4,85334560886213;0.00970409000785917
"560";31,539988448569;"+";"+";"+";"+";NA;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;0,27826699018339;10;-507,776213253579;1037,29845825319;4,89349356136017;0.0095112325200218
"544";31,5802276169344;"+";"+";"+";"+";"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;0,277902872244974;10;-507,810742288976;1037,36751632398;4,96255163215392;0.00918842404022818
"10176";35,4726931389677;"+";"+";"+";"+";"+";"+";NA;"+";"+";"+";"+";NA;NA;"+";NA;0,361602728285704;17;-499,377035717825;1037,89692857851;5,49196388667656;0.00705148552947106
"864";32,3124981098845;"+";"+";"+";"+";"+";NA;"+";NA;"+";"+";NA;NA;NA;NA;NA;0,324412932343054;14;-503,253020213285;1037,94866337739;5,54369868555864;0.00687142087907428
"9184";35,4972937076271;"+";"+";"+";"+";"+";NA;"+";"+";"+";"+";NA;NA;NA;"+";NA;0,361332579059507;17;-499,405996820002;1037,95485078286;5,54988609102952;0.00685019559479327
"448";32,7563914780649;"+";"+";"+";"+";"+";"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;0,298463418292182;12;-505,833220443912;1038,18256992008;5,77760522825065;0.00611299991560235
"976";31,9831092085733;"+";"+";"+";"+";NA;NA;"+";"+";"+";"+";NA;NA;NA;NA;NA;0,322032445045536;14;-503,493806371924;1038,43023569467;6,02527100283714;0.00540100339364558
"240";30,4434211670764;"+";"+";"+";"+";NA;"+";"+";"+";NA;NA;NA;NA;NA;NA;NA;0,283403300878898;11;-507,287277111237;1038,68655422247;6,28158953064417;0.00475133431035962
"512";32,4150036037376;"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;NA;NA;NA;NA;NA;0,320455049843283;14;-503,652894831199;1038,74841261322;6,34344792138609;0.00460662871250187
"558";30,9430202665662;"+";NA;"+";"+";NA;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;0,257445159721225;9;-509,72329332543;1038,86390948551;6,45894479367462;0.00434813863936154
"592";31,1750486941863;"+";"+";"+";"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;0,28245709529156;11;-507,377611026963;1038,86722205393;6,46225736209567;0.00434094284677182
"1536";33,5466128746353;"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";NA;NA;NA;NA;0,332220762638628;15;-502,457264678734;1038,88147150623;6,47650681439814;0.0043101247334244
"496";31,8073654807658;"+";"+";"+";"+";NA;"+";"+";"+";"+";NA;NA;NA;NA;NA;NA;0,306911286863213;13;-505,003858438021;1038,96706646954;6,56210177770731;0.00412955380048144
"1024";32,5793731252786;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;NA;NA;NA;NA;0,343217436305459;16;-501,320595857017;1039,17452504737;6,76956035553644;0.00372266598261008
"688";31,3954406310124;"+";"+";"+";"+";NA;"+";NA;"+";NA;"+";NA;NA;NA;NA;NA;0,280323554337074;11;-507,580863344327;1039,27372668865;6,86876199682274;0.00354252324019258
"672";31,4224702438704;"+";"+";"+";"+";"+";NA;NA;"+";NA;"+";NA;NA;NA;NA;NA;0,28003575762204;11;-507,608234266375;1039,32846853275;6,92350384091856;0.00344687605973033
"9168";35,079288876567;"+";"+";"+";"+";NA;NA;"+";"+";"+";"+";NA;NA;NA;"+";NA;0,342142115924708;16;-501,432581848617;1039,39849703057;6,9935323387374;0.00332827476782058
"880";32,0102991994539;"+";"+";"+";"+";NA;"+";"+";NA;"+";"+";NA;NA;NA;NA;NA;0,317165333743096;14;-503,983495650612;1039,40961425204;7,00464956021369;0.00330982550758866
"144";30,2752526782313;"+";"+";"+";"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;0,241738183798851;8;-511,156303219831;1039,43760643966;7,03264174783089;0.00326382355406635
"128";30,5197975925903;"+";"+";"+";"+";"+";"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;0,279337539563349;11;-507,674592914913;1039,46118582983;7,0562211379945;0.00322557001145735
"590";30,6075514354938;"+";NA;"+";"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;0,266587178322165;10;-508,875216930375;1039,49646560678;7,09150091495098;0.00316917022164333
"576";31,5614666499993;"+";"+";"+";"+";"+";"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;0,278349742526219;11;-507,768363482069;1039,64872696414;7,24376227230823;0.00293685451342
"527";31,1269548228082;NA;"+";"+";"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;0,239437709682972;8;-511,363690255369;1039,85238051074;7,44741581890639;0.00265252586307922
"896";32,3723973606295;"+";"+";"+";"+";"+";"+";"+";NA;"+";"+";NA;NA;NA;NA;NA;0,32691487381606;15;-502,999033371695;1039,96500889215;7,56004420032059;0.0025072791249347
"304";32,1895119861138;"+";"+";"+";"+";NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;0,263501323780431;10;-509,162657466848;1040,07134667973;7,66638198789633;0.00237745183704549
"176";30,6852469175899;"+";"+";"+";"+";NA;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;0,250594497228643;9;-510,351995928353;1040,12131469135;7,71634999952084;0.00231878942889731
"3040";35,3827907269311;"+";"+";"+";"+";"+";NA;"+";"+";"+";"+";NA;"+";NA;NA;NA;0,350125332803591;17;-500,596794914127;1040,33644697111;7,93148227928032;0.00208231261813902
"9216";35,4975754515051;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;NA;NA;"+";NA;0,361332584588586;18;-499,405996227387;1040,60860262427;8,20363793243473;0.00181738978055078
"2048";33,5648174452381;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;NA;NA;NA;0,348607052121639;17;-500,756535546927;1040,65592823671;8,25096354487982;0.00177489005280242
"624";31,0548206409431;"+";"+";"+";"+";NA;"+";"+";NA;NA;"+";NA;NA;NA;NA;NA;0,285617367466946;12;-507,075434278758;1040,66699758977;8,26203289794421;0.00176509374518411
"622";30,5034831013052;"+";NA;"+";"+";NA;"+";"+";NA;NA;"+";NA;NA;NA;NA;NA;0,272404259413078;11;-508,330066707003;1040,77213341401;8,36716872217607;0.00167470309069406
"48";31,4525818884348;"+";"+";"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;0,234220044149725;8;-511,831747132264;1040,78849426453;8,38352957269808;0.00166105918976883
"1008";32,0062115789868;"+";"+";"+";"+";NA;"+";"+";"+";"+";"+";NA;NA;NA;NA;NA;0,322778684199408;15;-503,418415359489;1040,80377286774;8,39880817590756;0.00164841820326525
"720";31,1964034613792;"+";"+";"+";"+";NA;NA;"+";"+";NA;"+";NA;NA;NA;NA;NA;0,284364983926254;12;-507,195343338764;1040,90681570979;8,50185101795637;0.00156564008815172
"256";30,4343688278778;"+";"+";"+";"+";"+";"+";"+";"+";NA;NA;NA;NA;NA;NA;NA;0,283521541043987;12;-507,275980386185;1041,06808980463;8,66312511279671;0.00144434754691087
"608";31,1634825796366;"+";"+";"+";"+";"+";NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;0,283421746108625;12;-507,285514967319;1041,0871589669;8,68219427506529;0.00143064174142667
"288";31,3651820181602;"+";"+";"+";"+";"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;0,256989733488528;10;-509,765268469145;1041,27656868432;8,87160399249183;0.00130137091018427
