"ID";"Intercept";"J-067";"E-045";"J-092";"D2";"J-067:E-045";"J-067:J-092";"J-067:D2";"E-045:J-092";"E-045:D2";"J-092:D2";"J-067:E-045:J-092";"J-067:E-045:D2";"J-067:J-092:D2";"E-045:J-092:D2";"J-067:E-045:J-092:D2";"adj.R2";"df";"LL";"AICc";"ΔAICc";"weight"
"24";24,7763078276055;"+";"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,162349077122578;6;-517,973305435372;1048,5927647169;16,1878000250681;3.35512968800524e-05
"8192";38,6162759773794;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;NA;0,362387537257581;21;-499,292831464152;1048,620445537;16,2154808451689;3.3090131891371e-05
"13";31,1968771090695;NA;NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,147648317318856;5;-519,164437687107;1048,78689064139;16,3819259495588;3.04477638771206e-05
"184";23,9639570008149;"+";"+";"+";NA;"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;0,185373891821718;8;-516,065065920986;1049,25513184197;16,8501671501406;2.40922919991231e-05
"15360";37,8412328990334;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";"+";"+";NA;0,371413192076156;22;-498,316930573558;1049,51105412957;17,106089437741;2.11985082042348e-05
"2400";34,2396430915765;"+";"+";"+";"+";"+";NA;"+";NA;"+";NA;NA;"+";NA;NA;NA;0,264543740018286;14;-509,065693539599;1049,57401003002;17,169045338188;2.05416156732557e-05
"7040";34,9870338310248;"+";"+";"+";"+";"+";"+";"+";NA;"+";"+";NA;"+";"+";NA;NA;0,331077979282979;19;-502,57431352049;1049,64435353671;17,2393888448753;1.98316889013714e-05
"4864";33,1512090850878;"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";NA;NA;"+";NA;NA;0,290982723670793;16;-506,559340784848;1049,65201490303;17,2470502111983;1.97558653054397e-05
"40";24,1070282143905;"+";"+";"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;0,153693208590343;6;-518,677153824121;1050,00046149439;17,5954968025642;1.65970858552934e-05
"56";24,4917316692668;"+";"+";"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;0,166203363295307;7;-517,657553429084;1050,18332391243;17,7783592206015;1.51469004467024e-05
"2528";34,0078470227678;"+";"+";"+";"+";"+";NA;"+";"+";"+";NA;NA;"+";NA;NA;NA;0,268304630951042;15;-508,714716005476;1051,39637415971;18,9914094678813;8.25872978297775e-06
"1208";23,9615384615385;"+";"+";"+";NA;"+";"+";NA;"+";NA;NA;"+";NA;NA;NA;NA;0,18537445871751;9;-516,065018277519;1051,54735938968;19,1423946978539;7.65820928348456e-06
"135";24,9304347826087;NA;"+";"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;0,127593519035655;5;-520,756685963656;1051,97138719449;19,5664225026574;6.19513482906315e-06
"6";23,469998397228;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,11299343679854;4;-521,893011899873;1052,08905410278;19,6840894109455;5.84116828056443e-06
"5888";33,4098727336551;"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";"+";NA;"+";NA;NA;0,291824339730989;17;-506,478031783728;1052,09892071031;19,6939560184817;5.81242298600979e-06
"16384";37,7789308145617;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;0,371416431675097;23;-498,316577783229;1052,40306707088;19,9981023790513;4.99243786629943e-06
"267";32,5068323935604;NA;"+";NA;"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;0,151294510915347;7;-518,870929941549;1052,61007693736;20,2051122455312;4.50153931184237e-06
"284";32,4715060580938;"+";"+";NA;"+";"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;0,17830714304436;9;-516,656414659158;1052,73015215296;20,3251874611312;4.23923063929228e-06
"268";32,548977515279;"+";"+";NA;"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;0,157693825761524;8;-518,352743896458;1053,83048779292;21,4255231010848;2.44541288992679e-06
"7";25,7709296077378;NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,100513293995182;4;-522,84961977992;1054,00226986287;21,5973051710387;2.24414128033227e-06
"38";23,3180327868853;"+";NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;0,113643441483382;5;-521,842820883433;1054,14365703404;21,7386923422118;2.09097268919949e-06
"11";31,1482986487476;NA;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,112770477986076;5;-521,910219507689;1054,27845428255;21,8734895907221;1.95468828358267e-06
"12";31,0840392254571;"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,126740467645958;6;-520,823600095075;1054,2933540363;21,8883893444736;1.94018020533845e-06
"5";24,9033333333334;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0796930196936916;3;-524,41635579295;1055,01316271372;22,6081980218894;1.35374729259751e-06
"10";31,0989380126039;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,106545923220789;5;-522,388884135645;1055,23578353847;22,8308188466358;1.21114489568544e-06
"32768";38,2245714285711;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";0,371492771520516;24;-498,308263895169;1055,33081350462;22,9258488127934;1.15494315227283e-06
"9";31,1668567639434;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0911977810082743;4;-523,555050014779;1055,41313033259;23,0081656407572;1.10837248537837e-06
"28";30,9696914662184;"+";"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,128329018187633;7;-520,698940216255;1056,26609748677;23,8611327949432;7.23546208372309e-07
"74";29,7547731437867;"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;0,125458184909957;7;-520,92406071187;1056,716338478;24,3113737861727;5.77693768647352e-07
"332";31,4153029000218;"+";"+";NA;"+";NA;NA;"+";NA;"+";NA;NA;NA;NA;NA;NA;0,167479953814838;10;-517,552650501471;1056,85133274897;24,4463680571434;5.39987926382915e-07
"76";29,8536010967209;"+";"+";NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;0,137750172663482;8;-519,954925647269;1057,03485129454;24,6298866027078;4.92644346975942e-07
"348";31,7933983426173;"+";"+";NA;"+";"+";NA;"+";NA;"+";NA;NA;NA;NA;NA;NA;0,179461165884903;11;-516,560193592164;1057,23238718433;24,8274224924965;4.46312582019915e-07
"92";29,8497735497526;"+";"+";NA;"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;0,137766960373611;9;-519,953592636409;1059,32450810746;26,9195434156331;1.56798117407319e-07
"2";25,523595505618;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0419917217098653;3;-527,165295242648;1060,51104161312;28,1060769212847;8.66340000407547e-08
"2396";35,5176009128511;"+";"+";NA;"+";"+";NA;"+";NA;"+";NA;NA;"+";NA;NA;NA;0,188119302769368;13;-515,833944721722;1060,62723903694;28,2222743451086;8.17441000700169e-08
"4";26,1945672410541;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0534170806611641;4;-526,343818743911;1060,99066779085;28,5857030990219;6.8161457092201e-08
"20";26,6253731343284;"+";"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0599289479658493;5;-525,871173839129;1062,20036294543;29,7953982536039;3.72269023934419e-08
"1";27,2678832116789;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;-530,102559176374;1064,29467059155;31,8897058997225;1.30642286716515e-08
"3";27,6566666666667;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00215446217557882;3;-529,954883739105;1066,09021860603;33,6852539141985;5.3233555778431e-09
